,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
1,Clemson,ACC (Atlantic),7,0,1.000,4,0,1.000,38.4,14.3,21.80,4.37,12,3,,
2,Florida State,ACC (Atlantic),6,1,.857,4,1,.800,31.0,16.1,14.25,1.97,10,9,,
3,Louisville,ACC (Atlantic),3,4,.429,2,2,.500,25.0,22.3,5.21,5.64,,,,
4,North Carolina State,ACC (Atlantic),5,2,.714,1,2,.333,35.1,16.1,6.49,-6.65,,,,
5,Syracuse,ACC (Atlantic),3,4,.429,1,2,.333,30.4,27.1,1.41,1.55,,,,
6,Wake Forest,ACC (Atlantic),3,5,.375,1,4,.200,18.6,23.4,-3.06,0.94,,,,
7,Boston College,ACC (Atlantic),3,5,.375,0,5,.000,19.4,11.8,2.19,2.19,,,,
,,,,,,,,,,,,,,,,
8,Duke,ACC (Coastal),6,1,.857,3,0,1.000,33.4,14.1,11.36,-1.64,,22,,
9,North Carolina,ACC (Coastal),6,1,.857,3,0,1.000,38.4,16.7,11.14,-4.43,,,,
10,Pittsburgh,ACC (Coastal),6,1,.857,4,0,1.000,27.1,21.6,7.43,0.86,,23,,
11,Miami (FL),ACC (Coastal),4,3,.571,1,2,.333,28.9,27.7,6.16,2.87,,,,
12,Virginia,ACC (Coastal),2,5,.286,1,2,.333,24.0,34.7,-1.86,6.00,,,,
13,Virginia Tech,ACC (Coastal),3,5,.375,1,3,.250,31.1,26.1,5.59,3.84,,,,
14,Georgia Tech,ACC (Coastal),3,5,.375,1,4,.200,35.1,26.0,7.40,7.40,16,14,,
,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
15,Temple,American (East),7,0,1.000,4,0,1.000,32.3,14.6,10.40,-4.46,,21,,
16,South Florida,American (East),4,3,.571,2,1,.667,30.0,22.0,3.62,-0.95,,,,
17,East Carolina,American (East),4,4,.500,2,2,.500,29.9,29.1,2.85,2.35,,,,
18,Cincinnati,American (East),4,3,.571,1,2,.333,36.6,29.1,5.94,0.65,,,,
19,Connecticut,American (East),3,5,.375,1,3,.250,19.0,22.1,-4.86,-1.36,,,,
20,Central Florida,American (East),0,8,.000,0,4,.000,15.0,33.4,-15.98,0.39,,,,
,,,,,,,,,,,,,,,,
21,Houston,American (West),7,0,1.000,4,0,1.000,47.6,19.7,10.96,-8.75,,18,,
22,Memphis,American (West),7,0,1.000,3,0,1.000,48.9,28.6,14.45,-0.70,,16,,
23,Navy,American (West),5,1,.833,3,0,1.000,34.8,19.2,11.86,-1.47,,,,
24,Tulane,American (West),2,5,.286,1,3,.250,18.7,37.4,-8.19,2.52,,,,
25,Tulsa,American (West),3,4,.429,0,3,.000,34.6,39.3,-2.78,1.37,,,,
26,Southern Methodist,American (West),1,6,.143,0,3,.000,28.4,44.1,-13.43,1.00,,,,
,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
27,Baylor,Big 12,7,0,1.000,4,0,1.000,61.1,25.1,17.42,-5.72,4,2,,
28,Oklahoma State,Big 12,7,0,1.000,4,0,1.000,40.3,18.9,12.19,-2.67,,12,,
29,Texas Christian,Big 12,7,0,1.000,4,0,1.000,50.1,26.6,13.46,-2.54,2,2,,
30,Oklahoma,Big 12,6,1,.857,3,1,.750,43.3,20.0,20.03,4.88,19,10,,
31,Texas,Big 12,3,4,.429,2,2,.500,24.3,31.0,6.76,10.61,,,,
