,,,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
1,Clemson,ACC (Atlantic),13,1,.929,7,1,.875,39.5,17.1,19.11,5.11,3,2,2,
2,Louisville,ACC (Atlantic),9,4,.692,7,1,.875,42.5,23.8,11.76,2.00,15,19,3,
3,Florida State,ACC (Atlantic),10,3,.769,5,3,.625,35.1,25.0,14.90,6.05,10,4,2,
4,North Carolina State,ACC (Atlantic),7,6,.538,3,5,.375,27.0,22.8,7.37,3.37,,,,
5,Wake Forest,ACC (Atlantic),7,6,.538,3,5,.375,20.4,22.2,0.60,1.68,,,,
6,Boston College,ACC (Atlantic),7,6,.538,2,6,.250,20.4,25.0,0.45,0.37,,,,
7,Syracuse,ACC (Atlantic),4,8,.333,2,6,.250,25.7,38.6,-4.67,4.42,,,,
8,Virginia Tech,ACC (Coastal),10,4,.714,6,2,.750,35.0,22.8,10.91,2.33,18,,17,
9,Miami (FL),ACC (Coastal),9,4,.692,5,3,.625,34.3,18.5,13.31,2.77,,,10,
10,North Carolina,ACC (Coastal),8,5,.615,5,3,.625,32.3,24.9,8.21,1.75,,22,15,
11,Pittsburgh,ACC (Coastal),8,5,.615,5,3,.625,40.9,35.2,8.01,3.40,22,,22,
12,Georgia Tech,ACC (Coastal),9,4,.692,4,4,.500,28.2,24.5,7.04,2.80,,,,
13,Duke,ACC (Coastal),4,8,.333,1,7,.125,23.3,28.2,-1.42,3.34,,,,
14,Virginia,ACC (Coastal),2,10,.167,1,7,.125,22.5,33.8,-8.30,1.79,,,,
15,South Florida,American (East),11,2,.846,7,1,.875,43.8,31.6,7.82,-2.72,25,,24,
16,Temple,American (East),10,4,.714,7,1,.875,32.4,18.4,8.96,-3.33,23,,23,
17,Central Florida,American (East),6,7,.462,4,4,.500,28.8,24.6,-0.01,-1.86,,,,
18,Cincinnati,American (East),4,8,.333,1,7,.125,19.3,26.9,-9.16,-1.57,,,,
19,Connecticut,American (East),3,9,.250,1,7,.125,14.8,28.1,-13.33,-2.58,,,,
20,East Carolina,American (East),3,9,.250,1,7,.125,27.0,36.1,-9.71,-0.13,,,,
21,Navy,American (West),9,5,.643,7,1,.875,37.9,31.0,3.59,-0.84,,,20,
22,Tulsa,American (West),10,3,.769,6,2,.750,42.5,29.8,6.92,-3.70,,,,
23,Houston,American (West),9,4,.692,5,3,.625,35.8,23.5,5.44,-1.94,,15,6,
24,Memphis,American (West),8,5,.615,5,3,.625,38.8,28.8,2.99,-1.09,,,,
25,Southern Methodist,American (West),5,7,.417,3,5,.375,27.7,36.3,-4.83,-0.33,,,,
26,Tulane,American (West),4,8,.333,1,7,.125,24.1,27.7,-6.55,-2.21,,,,
27,Oklahoma,Big 12,11,2,.846,9,0,1.000,43.9,28.8,15.01,3.62,7,3,3,
28,Oklahoma State,Big 12,10,3,.769,7,2,.778,38.6,26.5,11.19,1.73,13,21,10,
29,West Virginia,Big 12,10,3,.769,7,2,.778,31.2,24.0,9.60,2.06,14,,10,
30,Kansas State,Big 12,9,4,.692,6,3,.667,32.2,22.3,8.14,1.37,,,,
31,Texas Christian,Big 12,6,7,.462,4,5,.444,31.0,28.0,2.67,1.51,,13,13,
32,Baylor,Big 12,7,6,.538,3,6,.333,34.6,29.0,3.04,0.43,,23,8,
33,Texas,Big 12,5,7,.417,3,6,.333,31.9,31.5,1.79,2.45,,,11,
34,Texas Tech,Big 12,5,7,.417,3,6,.333,43.7,43.5,1.38,1.54,,,,
35,Iowa State,Big 12,3,9,.250,2,7,.222,27.7,31.3,-4.40,1.68,,,,
36,Kansas,Big 12,2,10,.167,1,8,.111,20.3,37.3,-10.62,2.55,,,,
37,Ohio State,Big Ten (East),11,2,.846,8,1,.889,39.4,15.5,18.76,6.53,2,6,2,
38,Penn State,Big Ten (East),11,3,.786,8,1,.889,37.6,25.4,15.73,5.45,5,,5,
39,Michigan,Big Ten (East),10,3,.769,7,2,.778,40.3,14.1,17.56,4.80,6,7,2,
40,Indiana,Big Ten (East),6,7,.462,4,5,.444,25.8,27.2,1.38,2.68,,,,
41,Maryland,Big Ten (East),6,7,.462,3,6,.333,25.8,29.5,0.06,1.60,,,,
42,Michigan State,Big Ten (East),3,9,.250,1,8,.111,24.1,27.8,-1.79,4.30,,12,8,
43,Rutgers,Big Ten (East),2,10,.167,0,9,.000,15.7,37.5,-6.95,4.97,,,,
